id,name,label_en,rs_type_id
1,ROOF_STOREY,Top floor,1
2,LOFT,Loft,1
3,MAISONETTE,Maisonette,1
4,PENTHOUSE,Penthouse,1
5,TERRACED_FLAT,Terraced flat,1
6,GROUND_FLOOR,Ground floor,1
7,APARTMENT,Standard apartment,1
8,RAISED_GROUND_FLOOR,Raised ground floor,1
9,HALF_BASEMENT,Basement,1
10,ATTIKA,Attic apartment,1
11,OTHER,Other,1
12,SINGLE_FAMILY_HOUSE,Single-family house,2
13,TWO_FAMILY_HOUSE,Two-family house,2
14,TERRACE_HOUSE,Terrace house,2
15,MID_TERRACE_HOUSE,Mid-terrace house,2
16,TERRACE_END_HOUSE,End-terrace house,2
17,END_TERRACE_HOUSE,Corner terraced house,2
18,MULTI_FAMILY_HOUSE,Multi-family house,2
19,TOWNHOUSE,Townhouse,2
20,FINCA,Finca,2
21,BUNGALOW,Bungalow,2
22,FARMHOUSE,Farmhouse,2
23,SEMIDETACHED_HOUSE,Semi-detached house,2
24,VILLA,Villa,2
25,CASTLE_MANOR_HOUSE,Castle / Manor house,2
26,SPECIAL_REAL_ESTATE,Special real estate,2
27,TWIN_SINGLE_FAMILY_HOUSE,Twin single-family house,2
28,SUMMER_RESIDENCE,Holiday house,2
29,SHORT_TERM_APARTMENT,Apartment,3
30,SHORT_TERM_ROOM,Room,3
31,SHORT_TERM_HOUSE,House,3
32,SHORT_TERM_FLAT,Flat,3
33,GARAGE,Garage,4
34,STREET_PARKING,Street parking,4
35,CARPORT,Carport,4
36,DUPLEX,Duplex,4
37,CAR_PARK,Car park,4
38,UNDERGROUND_GARAGE,Underground garage,4
39,DOUBLE_GARAGE,Double garage,4
40,OFFICE_LOFT,Office loft,5
41,STUDIO,Studio,5
42,OFFICE,Office,5
43,OFFICE_FLOOR,Office floor,5
44,OFFICE_BUILDING,Office building,5
45,OFFICE_CENTRE,Office centre,5
46,OFFICE_STORAGE_BUILDING,Office/storage building,5
47,SURGERY,Surgery,5
48,SURGERY_FLOOR,Surgery floor,5
49,SURGERY_BUILDING,Surgery building,5
50,COMMERCIAL_CENTRE,Commercial centre,5
51,LIVING_AND_COMMERCIAL_BUILDING,Living & commercial building,5
52,OFFICE_AND_COMMERCIAL_BUILDING,Office & commercial building,5
53,BAR_LOUNGE,Bar / Lounge,6
54,CAFE,Cafe,6
55,CLUB_DISCO,Club / Disco,6
56,GUESTS_HOUSE,Guest house,6
57,TAVERN,Tavern,6
58,HOTEL,Hotel,6
59,HOTEL_RESIDENCE,Hotel residence,6
60,HOTEL_GARNI,Hotel garni,6
61,PENSION,Pension,6
62,RESTAURANT,Restaurant,6
63,SHOWROOM_SPACE,Showroom,7
64,HALL,Hall,7
65,HIGH_LACK_STORAGE,High-rack storage,7
66,INDUSTRY_HALL,Industrial hall,7
67,INDUSTRY_HALL_WITH_OPEN_AREA,Industrial hall with open area,7
68,COLD_STORAGE,Cold storage,7
69,MULTIDECK_CABINET_STORAGE,Refrigerated storage,7
70,STORAGE_WITH_OPEN_AREA,Storage with open area,7
71,STORAGE_AREA,Storage area,7
72,STORAGE_HALL,Warehouse,7
73,SERVICE_AREA,Service area,7
74,SHIPPING_STORAGE,Shipping storage,7
75,REPAIR_SHOP,Workshop,7
76,SHOWROOM_SPACE,Showroom,8
77,SHOPPING_CENTRE,Shopping centre,8
78,FACTORY_OUTLET,Factory outlet,8
79,DEPARTMENT_STORE,Department store,8
80,KIOSK,Kiosk,8
81,STORE,Shop,8
82,SELF_SERVICE_MARKET,Self-service market,8
83,SALES_AREA,Sales area,8
84,SALES_HALL,Sales hall,8
85,RESIDENCE,Residence,9
86,FARM,Farm,9
87,LEISURE_FACILITY,Leisure facility,9
88,COMMERCIAL_UNIT,Commercial unit,9
89,INDUSTRIAL_AREA,Industrial area,9
90,COMMERCIAL_CENTRE,Commercial park,9
91,NURSING_HOME,Nursing home,9
92,ASSISTED_LIVING,Assisted living,9
93,HORSE_FARM,Horse farm,9
94,SPECIAL_ESTATE,Special estate,9
95,VINEYARD,Vineyard,9
96,REPAIR_SHOP,Workshop,9
97,INVEST_FREEHOLD_FLAT,Freehold flat,10
98,INVEST_SINGLE_FAMILY_HOUSE,Single-family house,10
99,INVEST_MULTI_FAMILY_HOUSE,Multi-family house,10
100,INVEST_LIVING_BUSINESS_HOUSE,Living/business building,10
101,INVEST_HOUSING_ESTATE,Housing estate,10
102,INVEST_MICRO_APARTMENTS,Micro-apartments,10
103,INVEST_OFFICE_BUILDING,Office building,10
104,INVEST_COMMERCIAL_BUILDING,Commercial building,10
105,INVEST_OFFICE_AND_COMMERCIAL_BUILDING,Office & commercial building,10
106,INVEST_SHOP_SALES_FLOOR,Sales floor,10
107,INVEST_SUPERMARKET,Supermarket,10
108,INVEST_SHOPPING_CENTRE,Shopping centre,10
109,INVEST_RETAIL_PARK,Retail park,10
110,INVEST_HOTEL,Hotel,10
111,INVEST_BOARDING_HOUSE,Boarding house,10
112,INVEST_SURGERY_BUILDING,Medical office building,10
113,INVEST_CLINIC,Clinic,10
114,INVEST_REHAB_CLINIC,Rehab clinic,10
115,INVEST_MEDICAL_SERVICE_CENTER,Medical service centre,10
116,INVEST_INTEGRATION_ASSISTANCE,Integration assistance,10
117,INVEST_DAY_NURSERY,Day nursery,10
118,INVEST_DAY_CARE,Day care,10
119,INVEST_NURSING_HOME,Nursing home,10
120,INVEST_ASSISTED_LIVING,Assisted living,10
121,INVEST_COMMERCIAL_CENTRE,Commercial park,10
122,INVEST_HALL_STORAGE,Hall / Logistics,10
123,INVEST_INDUSTRIAL_PROPERTY,Industrial property,10
124,INVEST_CAR_PARK,Car park,10
125,INVEST_PLOT,Plot,10
126,INVEST_COMMERCIAL_UNIT,Commercial unit,10
127,INVEST_OTHER,Other,10
128,TRADE_SITE,Trade site,11
